ID,NAME
11001,MINERA LA CASTELLANA Y ANEXAS S.A. DE C.V.
11002,MOLDURAS DEL NOROESTE S.A. DE C.V.
11003,INMOBILIARIA GAXIOLA HERMANOS S.A. DE C.V.
11004,DISTRIBUIDORA GRAN AUTO S.A. DE C.V.
11005,TEMPLE DEL PITIC S.A. DE C.V.
11006,COPA DE PLATA S.A. DE C.V.
11007,COMPANIA MINERA DEL RIO CIANURY S.A. DE C.V.
11008,GRUPO INDUSTRIAL GAXIOLA HERMANOS S.A. DE C.V.
11009,AGRICOLA GAXIOLA S.A. DE C.V.
11166,AL-RA'Y SATELLITE TELEVISION CHANNEL
11167,SURAQIYA FOR MEDIA AND BROADCASTING
11168,ARMAMENT INDUSTRIES GROUP
11181,IRAN COMMUNICATION INDUSTRIES
11184,IRAN ELECTRONICS INDUSTRIES
11195,IRAN AIRCRAFT MANUFACTURING INDUSTRIAL COMPANY
11198,FARASAKHT INDUSTRIES
11224,TRANS MERITS CO. LTD.
11225,GLOBAL INTERFACE COMPANY INC.
11244,"LABORATORIOS WILLMAR, S.A. DE C.V."
11245,"FARMACIA JERLYNE, S.A. DE C.V."
11246,"AMERICAN TUNE UP, S.A. DE C.V."
11256,UNION OF GOOD
11294,KHUM THAW COMPANY LIMITED
11295,SANGSIRI KANKASET COMPANY LIMITED
11296,"TET KHAM GEMS CO., LTD."
11297,TING SHING TAI JEWELLERY (HK)  CO. LIMITED
11298,SHUEN WAI HOLDING LIMITED
11299,HONG PANG GEMS & JEWELLERY COMPANY LIMITED
11300,HONG PANG GEMS & JEWELLERY (HK) CO. LIMITED
11301,HONG PANG TEXTILE COMPANY LIMITED
11302,HONG PANG MINING COMPANY LIMITED
11303,HONG PANG LIVESTOCK DEVELOPMENT COMPANY LIMITED
11304,"HONG PANG GENERAL TRADING COMPANY, LIMITED"
11305,"HONG PANG ELECTRONIC INDUSTRY CO., LTD."
11306,TET KHAM CONSTRUCTION COMPANY LIMITED
11307,"DEHONG THAILONG HOTEL CO., LTD."
11308,YANGON AIRWAYS COMPANY LIMITED
11309,VEST SPECTRUM (S) PTE. LTD.
11310,TET KHAM (S) PTE. LTD.
11314,NAVAL DEFENCE MISSILE INDUSTRY GROUP
11317,NATIONAL IRANIAN OIL COMPANY
11318,NAFTIRAN INTERTRADE CO. (NICO) LIMITED
11319,NAFTIRAN INTERTRADE CO. (NICO) SARL
11346,WAAD PROJECT
11347,TAMIL FOUNDATION
11351,FREE LIFE PARTY OF KURDISTAN
11401,"BELLOSOM ENTERPRISE, INC."
11402,BLISSEY PANAMA INC.
11403,LA CROSSE GROUP INC
11404,AERO COURIER CARGO S.A.
11405,EMPRESA DE TRANSPORTES CHULUCANAS 2000 S.A.
11406,PERUVIAN PRECIOUS METALS S.A.C.
11407,SERVICIOS SILSA S.A.C.
11408,URANTIA SERVICES S.A.
11409,EDITORA TRANSPARENCIA S.A.
11410,ORIENTE CONTRATISTAS GENERALES S.A.
11411,PERU TOTAL MARKET E.I.R.L.
11412,LUCERO IMPORT S.A.C.
11413,REPRESENTACIONES ORIENTE S.R.L.
11414,ORIENTE TOURS S.R.L.
11415,CORPORACION DE INVERSIONES EMPRESARIALES S.A.
11416,CONTINENTE MOVIL Y SERVICIOS S.R.L.
11417,TALLER DE REPARACIONES DE AERODINOS SUS PARTES Y SERVICIOS AEREOS S.A.
11418,TRANSPORTES AEREOS UNIDOS SELVA AMAZONICA S.A.
11419,PERU GLOBAL TOURS S.A.C.
11420,ASOCIACION CIVIL LOS PROMOTORES AERONAUTICOS
